,entry_datetime,entry_price,exit_datetime,exit_price,pnl%,trade
0,2018-07-19 05:30:00,7466.21,2018-07-24 05:30:00,8397.24,12.469914454589407,long
1,2019-02-19 05:30:00,3907.79,2019-02-24 05:30:00,3743.56,-4.202631154693575,long
2,2019-04-01 05:30:00,4144.56,2019-04-02 05:30:00,4857.29,17.19675912521473,long
3,2019-04-03 05:30:00,4932.6,2019-04-10 05:30:00,5308.25,7.615659084458493,long
4,2019-04-11 05:30:00,5017.37,2019-04-23 05:30:00,5493.31,9.485846170404026,long
5,2019-05-03 05:30:00,5772.69,2019-05-09 05:30:00,6209.18,7.561292915434585,long
6,2019-05-10 05:30:00,6373.33,2019-05-11 05:30:00,7076.22,11.02861455471473,long
7,2019-05-12 05:30:00,6967.31,2019-05-13 05:30:00,7790.71,11.818047424328752,long
8,2019-05-14 05:30:00,7947.56,2019-05-17 05:30:00,7355.26,-7.452601804830667,long
9,2019-05-18 05:30:00,7257.45,2019-05-19 05:30:00,8148.48,12.277452824339125,long
10,2019-05-20 05:30:00,7938.15,2019-05-26 05:30:00,8614.43,8.519365343310477,long
11,2019-05-27 05:30:00,8756.32,2019-05-30 05:30:00,8269.54,-5.559184680322314,long
12,2019-06-16 05:30:00,8953.33,2019-06-21 05:30:00,10159.86,13.475768233718636,long
13,2019-06-24 05:30:00,11056.59,2019-06-26 05:30:00,13093.8,18.425301110016733,long
14,2019-06-27 05:30:00,11329.99,2019-06-28 05:30:00,12400.63,9.449611164705347,long
15,2019-06-29 05:30:00,11903.13,2019-06-30 05:30:00,10854.1,-8.813060094277713,long
16,2019-08-02 05:30:00,10523.75,2019-08-05 05:30:00,11828.8,12.400997743199898,long
17,2019-08-06 05:30:00,11481.69,2019-08-10 05:30:00,11309.31,-1.501346927150977,long
18,2019-09-03 05:30:00,10615.28,2019-09-10 05:30:00,10098.15,-4.871562502355105,long
19,2019-09-17 05:30:00,10187.82,2019-09-23 05:30:00,9702.25,-4.766181577609339,long
20,2020-01-07 05:30:00,8145.28,2020-01-14 05:30:00,8810.01,8.160922644770965,long
21,2020-01-17 05:30:00,8913.28,2020-01-23 05:30:00,8404.52,-5.7078875565448435,long
22,2020-01-29 05:30:00,9301.53,2020-02-09 05:30:00,10151.75,9.140646753813613,long
23,2020-02-10 05:30:00,9851.83,2020-02-19 05:30:00,9593.79,-2.6192088170421033,long
24,2020-04-06 05:30:00,7329.9,2020-04-13 05:30:00,6837.91,-6.712097027244571,long
25,2020-05-01 05:30:00,8826.96,2020-05-07 05:30:00,9986.4,13.135213029174263,long
26,2020-05-08 05:30:00,9800.01,2020-05-09 05:30:00,9539.4,-2.6592830007316377,long
27,2020-06-02 05:30:00,9518.04,2020-06-11 05:30:00,9280.4,-2.4967325205609687,long
28,2020-07-07 05:30:00,9257.39,2020-07-27 05:30:00,11029.96,19.147621521832825,long
29,2020-07-28 05:30:00,10906.27,2020-08-01 05:30:00,11801.17,8.205371772384138,long
30,2020-08-02 05:30:00,11071.35,2020-08-16 05:30:00,11911.0,7.583989305730553,long
